dbus-devel,1:dbus-devel-1.8.6-3.fc21.x86_64
python-bugzilla,python-bugzilla-1.1.0-2.fc21.noarch
libxklavier-devel,libxklavier-devel-5.4-4.fc21.x86_64
glib2-doc,glib2-doc-2.42.0-1.fc21.noarch
gtk3-devel-docs,gtk3-devel-docs-3.14.2-1.fc21.x86_64
libarchive-devel,libarchive-devel-3.1.2-10.fc21.x86_64
intltool,intltool-0.50.2-8.fc21.noarch
gtk-doc,gtk-doc-1.21-1.fc21.noarch
NetworkManager-glib-devel,1:NetworkManager-glib-devel-0.9.10.0-5.git20140704.fc21.x86_64
pykickstart,pykickstart-1.99.60-2.fc21.noarch
dbus-python,dbus-python-1.2.0-6.fc21.x86_64
glade-devel,glade-devel-3.18.3-4.fc21.x86_64
libgnomekbd-devel,libgnomekbd-devel-3.6.0-6.fc21.x86_64
yum,yum-3.4.3-153.fc21.noarch
python-urlgrabber,python-urlgrabber-3.10.1-2.fc21.noarch
python-devel,python-devel-2.7.8-4.1.fc21.x86_64
gobject-introspection-devel,gobject-introspection-devel-1.42.0-1.fc21.x86_64
gtk3-devel,gtk3-devel-3.14.2-1.fc21.x86_64
libtimezonemap-devel,libtimezonemap-devel-0.4.2-4.fc21.x86_64
pango-devel,pango-devel-1.36.8-1.fc21.x86_64
audit-libs-devel,audit-libs-devel-2.4-1.fc21.x86_64
NetworkManager-devel,1:NetworkManager-devel-0.9.10.0-5.git20140704.fc21.x86_64
pygobject3,pygobject3-3.14.0-1.fc21.x86_64
gettext,gettext-0.19.2-4.fc21.x86_64
python-nose,python-nose-1.3.4-1.fc21.noarch
systemd,systemd-215-19.fc21.x86_64
rpm-devel,rpm-devel-4.12.0.1-2.fc21.x86_64
publican,publican-4.1.3-1.fc21.noarch
desktop-file-utils,desktop-file-utils-0.22-3.fc21.x86_64
publican-fedora,publican-fedora-4.0-2.fc21.noarch
nss-devel,nss-devel-3.17.1-1.fc21.x86_64
zlib-devel,zlib-devel-1.2.8-7.fc21.x86_64
pcsc-lite-devel,pcsc-lite-devel-1.8.12-1.fc21.x86_64
autoconf,autoconf-2.69-15.fc21.noarch
openssl-devel,1:openssl-devel-1.0.1i-4.fc21.x86_64
perl,4:perl-5.18.4-304.fc21.x86_64
texlive-helvetic,4:texlive-helvetic-svn31835.0-1.1.fc21.noarch
ipxe-roms-qemu,ipxe-roms-qemu-20140303-3.gitff1e7fc7.fc21.noarch
texlive-courier,4:texlive-courier-svn31835.0-1.1.fc21.noarch
checkpolicy,checkpolicy-2.3-4.fc21.x86_64
texlive-latex,4:texlive-latex-svn32901.0-1.1.fc21.noarch
gnutls-devel,gnutls-devel-3.3.8-2.fc21.x86_64
udev,systemd-215-19.fc21.x86_64
m4,m4-1.4.17-6.fc21.x86_64
graphviz,graphviz-2.38.0-9.fc21.x86_64
ncurses-devel,ncurses-devel-5.9-16.20140323.fc21.x86_64
e2fsprogs-devel,e2fsprogs-devel-1.42.11-3.fc21.x86_64
ghostscript,ghostscript-9.14-7.fc21.x86_64
wget,wget-1.15-3.fc21.x86_64
ocaml-findlib,ocaml-findlib-1.4-4.fc21.x86_64
texinfo,texinfo-5.2-5.fc21.x86_64
yajl-devel,yajl-devel-2.1.0-3.fc21.x86_64
