1:dbus-devel-1.8.6-3.fc21.x86_64,1:dbus-1.8.6-3.fc21.src.rpm
python-bugzilla-1.1.0-2.fc21.noarch,python-bugzilla-1.1.0-2.fc21.src.rpm
libxklavier-devel-5.4-4.fc21.x86_64,libxklavier-5.4-4.fc21.src.rpm
glib2-doc-2.42.0-1.fc21.noarch,glib2-2.42.0-1.fc21.src.rpm
gtk3-devel-docs-3.14.2-1.fc21.x86_64,gtk3-3.14.2-1.fc21.src.rpm
libarchive-devel-3.1.2-10.fc21.x86_64,libarchive-3.1.2-10.fc21.src.rpm
intltool-0.50.2-8.fc21.noarch,intltool-0.50.2-8.fc21.src.rpm
gtk-doc-1.21-1.fc21.noarch,gtk-doc-1.21-1.fc21.src.rpm
1:NetworkManager-glib-devel-0.9.10.0-5.git20140704.fc21.x86_64,1:NetworkManager-0.9.10.0-5.git20140704.fc21.src.rpm
pykickstart-1.99.60-2.fc21.noarch,pykickstart-1.99.60-2.fc21.src.rpm
dbus-python-1.2.0-6.fc21.x86_64,dbus-python-1.2.0-6.fc21.src.rpm
glade-devel-3.18.3-4.fc21.x86_64,glade-3.18.3-4.fc21.src.rpm
libgnomekbd-devel-3.6.0-6.fc21.x86_64,libgnomekbd-3.6.0-6.fc21.src.rpm
yum-3.4.3-153.fc21.noarch,yum-3.4.3-153.fc21.src.rpm
python-urlgrabber-3.10.1-2.fc21.noarch,python-urlgrabber-3.10.1-2.fc21.src.rpm
python-devel-2.7.8-4.1.fc21.x86_64,python-2.7.8-4.1.fc21.src.rpm
gobject-introspection-devel-1.42.0-1.fc21.x86_64,gobject-introspection-1.42.0-1.fc21.src.rpm
gtk3-devel-3.14.2-1.fc21.x86_64,gtk3-3.14.2-1.fc21.src.rpm
libtimezonemap-devel-0.4.2-4.fc21.x86_64,libtimezonemap-0.4.2-4.fc21.src.rpm
pango-devel-1.36.8-1.fc21.x86_64,pango-1.36.8-1.fc21.src.rpm
audit-libs-devel-2.4-1.fc21.x86_64,audit-2.4-1.fc21.src.rpm
1:NetworkManager-devel-0.9.10.0-5.git20140704.fc21.x86_64,1:NetworkManager-0.9.10.0-5.git20140704.fc21.src.rpm
pygobject3-3.14.0-1.fc21.x86_64,pygobject3-3.14.0-1.fc21.src.rpm
gettext-0.19.2-4.fc21.x86_64,gettext-0.19.2-4.fc21.src.rpm
python-nose-1.3.4-1.fc21.noarch,python-nose-1.3.4-1.fc21.src.rpm
systemd-215-19.fc21.x86_64,systemd-215-19.fc21.src.rpm
rpm-devel-4.12.0.1-2.fc21.x86_64,rpm-4.12.0.1-2.fc21.src.rpm
publican-4.1.3-1.fc21.noarch,publican-4.1.3-1.fc21.src.rpm
desktop-file-utils-0.22-3.fc21.x86_64,desktop-file-utils-0.22-3.fc21.src.rpm
publican-fedora-4.0-2.fc21.noarch,publican-fedora-4.0-2.fc21.src.rpm
nss-devel-3.17.1-1.fc21.x86_64,nss-3.17.1-1.fc21.src.rpm
zlib-devel-1.2.8-7.fc21.x86_64,zlib-1.2.8-7.fc21.src.rpm
pcsc-lite-devel-1.8.12-1.fc21.x86_64,pcsc-lite-1.8.12-1.fc21.src.rpm
autoconf-2.69-15.fc21.noarch,autoconf-2.69-15.fc21.src.rpm
1:openssl-devel-1.0.1i-4.fc21.x86_64,1:openssl-1.0.1i-4.fc21.src.rpm
4:perl-5.18.4-304.fc21.x86_64,4:perl-5.18.4-304.fc21.src.rpm
4:texlive-helvetic-svn31835.0-1.1.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
ipxe-roms-qemu-20140303-3.gitff1e7fc7.fc21.noarch,ipxe-20140303-3.gitff1e7fc7.fc21.src.rpm
4:texlive-courier-svn31835.0-1.1.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
checkpolicy-2.3-4.fc21.x86_64,checkpolicy-2.3-4.fc21.src.rpm
4:texlive-latex-svn32901.0-1.1.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
gnutls-devel-3.3.8-2.fc21.x86_64,gnutls-3.3.8-2.fc21.src.rpm
m4-1.4.17-6.fc21.x86_64,m4-1.4.17-6.fc21.src.rpm
